Thu Oct 15 11:11:14 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d8-CN8KXJ22BFX7 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@1c4b57f3
Thu Oct 15 11:11:47 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d8-CN8KXJ22BFX7 clientIP:192.168.0.101 task:accountBalance TYPE:GroovyAction@5b80fc6a
Thu Oct 15 11:12:12 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d8-CN8KXJ22BFX7 clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@1bb292d4
Thu Oct 15 11:12:44 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d8-CN8KXJ22BFX7 clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@3960e723
Thu Oct 15 11:13:22 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d8-CN8KXJ22BFX7 clientIP:192.168.0.101 task:EVT_getConfirmation TYPE:GroovyAction@6f1e63cd
Thu Oct 15 11:13:47 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-F55EK17Y3CFV clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@70d66ec5
Thu Oct 15 11:14:09 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-F55EK17Y3CFV clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@658b5fd8
Thu Oct 15 11:14:53 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-F55EK17Y3CFV clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@597656ce
Thu Oct 15 11:15:37 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-F55EK17Y3CFV clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@76a381f2
Thu Oct 15 11:16:14 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d9-F55EK17Y3CFV clientIP:192.168.0.101 task:EVT_getDetails TYPE:GroovyAction@6efbd09b
Thu Oct 15 14:00:47 IST 2020 domain:banking_cee user:John sessionId:d1-WSYZN1JLO2S5 clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@6a5790eb
